Municipality,2016 Trump,2016 Clinton,2016 Total,2016 Margin,2016 Win Weighted,2020 Trump,2020 Biden,2020 Total,2020 Margin,2020 Win Weighted,2024 Trump,2024 Harris,2024 Total,2024 Margin,2024 Win Weighted,2016->20 Shift,2020_24_Shift,16->20 Shift weighted,20->24 Shift weighted,,2016->24 Shift,Median Household Income
Barrington,2898,6153,9051,3255,0.35962877,2889,7713,10602,4824,0.455008489,2858,7323,10181,4465,0.438562027,1569,-359,0.35962877,-0.035261762,-3.526176211,1210,130455
Bristol,4080,5771,9851,1691,0.1716577,4595,6813,11408,2218,0.194424965,4692,6550,11242,1858,0.165273083,527,-360,0.1716577,-0.032022772,-3.202277175,167,80727
Burrillville,4139,2558,6697,-1581,-0.236075855,4906,3434,8340,-1472,-0.176498801,5361,3142,8503,-2219,-0.260966718,109,-747,-0.236075855,-0.087851347,-8.785134658,-638,96824
Central Falls,567,3394,3961,2827,0.713708659,1113,3073,4186,1960,0.468227425,1250,2313,3563,1063,0.298344092,-867,-897,0.713708659,-0.25175414,-25.17541398,-1764,40235
Charlestown,1906,2207,4113,301,0.073182592,2198,2909,5107,711,0.139220678,2346,2852,5198,506,0.097345133,410,-205,0.073182592,-0.039438245,-3.943824548,205,86023
Coventry,9199,7032,16231,-2167,-0.13350995,10461,9123,19584,-1338,-0.068321078,11191,8587,19778,-2604,-0.131661442,829,-1266,-0.13350995,-0.064010517,-6.401051674,-437,88779
Cranston,15934,18763,34697,2829,0.081534427,17313,23039,40352,5726,0.141901269,18539,21035,39574,2496,0.063071714,2897,-3230,0.081534427,-0.081619245,-8.161924496,-333,77145
Cumberland,7444,8655,16099,1211,0.075222063,8418,10869,19287,2451,0.127080417,8746,10057,18803,1311,0.069722917,1240,-1140,0.075222063,-0.060628623,-6.062862309,100,104613
East Greenwich,3122,4019,7141,897,0.125612659,3227,5218,8445,1991,0.235760805,3186,5053,8239,1867,0.226605171,1094,-124,0.125612659,-0.01505037,-1.505037019,970,133373
East Providence,7134,11904,19038,4770,0.250551529,7930,14735,22665,6805,0.300242665,8630,13700,22330,5070,0.227048813,2035,-1735,0.250551529,-0.077698164,-7.769816391,300,65016
Exeter,1820,1471,3291,-349,-0.106046794,2009,1974,3983,-35,-0.008787346,2056,1843,3899,-213,-0.054629392,314,-178,-0.106046794,-0.045652731,-4.565273147,136,95053
Foster,1374,967,2341,-407,-0.173857326,1582,1224,2806,-358,-0.127583749,1755,1110,2865,-645,-0.22513089,49,-287,-0.173857326,-0.10017452,-10.01745201,-238,99892
Glocester,2914,1977,4891,-937,-0.191576365,3351,2638,5989,-713,-0.119051595,3771,2460,6231,-1311,-0.210399615,224,-598,-0.191576365,-0.095971754,-9.597175413,-374,97753
Hopkinton,2135,1766,3901,-369,-0.09459113,2423,2298,4721,-125,-0.026477441,2607,2253,4860,-354,-0.072839506,244,-229,-0.09459113,-0.047119342,-4.711934156,15,87712
Jamestown,1148,2172,3320,1024,0.308433735,1212,2795,4007,1583,0.395058647,1168,2628,3796,1460,0.384615385,559,-123,0.308433735,-0.032402529,-3.240252898,436,120129
Johnston,7563,5652,13215,-1911,-0.1446084,8222,6838,15060,-1384,-0.09189907,9189,6181,15370,-3008,-0.195705921,527,-1624,-0.1446084,-0.105660377,-10.56603774,-1097,75579
Lincoln,5410,5279,10689,-131,-0.01225559,5779,6633,12412,854,0.068804383,5985,6248,12233,263,0.021499223,985,-591,-0.01225559,-0.048311943,-4.83119431,394,94571
Little Compton,821,1165,1986,344,0.173212487,951,1524,2475,573,0.231515152,971,1501,2472,530,0.214401295,229,-43,0.173212487,-0.017394822,-1.739482201,186,96111
Middletown,2745,4248,6993,1503,0.214929215,2885,5529,8414,2644,0.314238175,2819,4935,7754,2116,0.272891411,1141,-528,0.214929215,-0.068093887,-6.809388703,613,88211
Narragansett,3292,4214,7506,922,0.122835065,3551,5333,8884,1782,0.200585322,3797,5001,8798,1204,0.136849284,860,-578,0.122835065,-0.065696749,-6.569674926,282,82532
New Shoreham,214,609,823,395,0.479951397,195,748,943,553,0.586426299,177,651,828,474,0.572463768,158,-79,0.479951397,-0.095410628,-9.541062802,79,72279
Newport,2644,6287,8931,3643,0.40790505,2662,7866,10528,5204,0.494300912,2759,7012,9771,4253,0.435267629,1561,-951,0.40790505,-0.09732883,-9.732883021,610,77092
North Kingstown,6147,7793,13940,1646,0.118077475,6633,10534,17167,3901,0.227238306,6643,10082,16725,3439,0.205620329,2255,-462,0.118077475,-0.027623318,-2.762331839,1793,104026
North Providence,6936,7760,14696,824,0.056069679,7129,9438,16567,2309,0.139373453,7440,8517,15957,1077,0.06749389,1485,-1232,0.056069679,-0.077207495,-7.720749514,253,68821
North Smithfield,3242,2570,5812,-672,-0.115622849,3550,3507,7057,-43,-0.006093241,3679,3333,7012,-346,-0.049343982,629,-303,-0.115622849,-0.043211637,-4.321163719,326,87121
Pawtucket,6221,15574,21795,9353,0.429135123,7257,18053,25310,10796,0.42655077,7910,15719,23629,7809,0.330483728,1443,-2987,0.429135123,-0.126412459,-12.64124593,-1544,56427
Portsmouth,3922,4945,8867,1023,0.115371603,3995,6649,10644,2654,0.249342353,4009,6301,10310,2292,0.222308438,1631,-362,0.115371603,-0.035111542,-3.511154219,1269,104073
Providence,7682,45053,52735,37371,0.70865649,10186,45941,56127,35755,0.637037433,12755,40800,53555,28045,0.523667258,-1616,-7710,0.70865649,-0.143964149,-14.3964149,-9326,55787
Richmond,2058,1713,3771,-345,-0.091487669,2343,2346,4689,3,0.000639795,2481,2319,4800,-162,-0.03375,348,-165,-0.091487669,-0.034375,-3.4375,183,100493
Scituate,3536,2045,5581,-1491,-0.267156424,3806,2735,6541,-1071,-0.163736432,3978,2531,6509,-1447,-0.222307574,420,-376,-0.267156424,-0.05776617,-5.776616992,44,104388
Smithfield,5254,4402,9656,-852,-0.088235294,5744,5566,11310,-178,-0.015738285,6104,5193,11297,-911,-0.080640878,674,-733,-0.088235294,-0.064884483,-6.488448261,-59,87819
South Kingstown,4627,8677,13304,4050,0.304419723,5003,11254,16257,6251,0.384511287,5368,10687,16055,5319,0.331298661,2201,-932,0.304419723,-0.058050452,-5.805045157,1269,102242
Tiverton,3797,4034,7831,237,0.030264334,4017,5123,9140,1106,0.121006565,4204,4716,8920,512,0.057399103,869,-594,0.030264334,-0.066591928,-6.659192825,275,85522
Warren,1987,2685,4672,698,0.149400685,2261,3524,5785,1263,0.21832325,2452,3467,5919,1015,0.171481669,565,-248,0.149400685,-0.041898969,-4.189896942,317,75755
Warwick,18338,20038,38376,1700,0.04429852,19578,25845,45423,6267,0.137969751,20439,24020,44459,3581,0.080546121,4567,-2686,0.04429852,-0.060415214,-6.041521402,1881,77110
West Greenwich,1953,1159,3112,-794,-0.255141388,2242,1693,3935,-549,-0.139517154,2405,1559,3964,-846,-0.213420787,245,-297,-0.255141388,-0.074924319,-7.492431887,-52,126402
West Warwick,5724,5540,11264,-184,-0.016335227,6493,7234,13727,741,0.053981205,7068,6762,13830,-306,-0.022125813,925,-1047,-0.016335227,-0.075704989,-7.570498915,-122,62649
Westerly,5031,5291,10322,260,0.025188917,5463,7153,12616,1690,0.13395688,5610,6582,12192,972,0.079724409,1430,-718,0.025188917,-0.058891076,-5.889107612,712,81051
Woonsocket,5442,6346,11788,904,0.076688157,6265,7289,13554,1024,0.075549653,6597,6386,12983,-211,-0.016252022,120,-1235,0.076688157,-0.095124393,-9.512439344,-1115,48822
,180400,251888,432288,71488,0.165371234,199837,306210,506047,106373,0.210203795,212995,281409,494404,68414,0.138376712,34885,-37959,0.165371234,-0.076777291,-7.677729145,-3074,
