Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
CASWELL HALL,CASWELL FL 1 S,CASWELL 104,CASWELL 104,CASWELL 104‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 1 S,CASWELL 104,CASWELL 104,CASWELL 104‐2,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 2 S,CASWELL 203,CASWELL 203,CASWELL 203‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 2 S,CASWELL 203,CASWELL 203,CASWELL 203‐2,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 2 S,CASWELL 204,CASWELL 204,CASWELL 204‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 2 S,CASWELL 204,CASWELL 204,CASWELL 204‐2,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 3 S,CASWELL 303,CASWELL 303,CASWELL 303‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 3 S,CASWELL 303,CASWELL 303,CASWELL 303‐2,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 4 S,CASWELL 403,CASWELL 403,CASWELL 403‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 4 S,CASWELL 403,CASWELL 403,CASWELL 403‐2,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 4 S,CASWELL 404,CASWELL 404,CASWELL 404‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 4 S,CASWELL 404,CASWELL 404,CASWELL 404‐2,Double,,CoEd,24‐25 Substance Free
GRAD CENTER B,GRADCTR B FL 6,GRADCTR B 610,GRADCTR B 610 616,GRADCTR B 610 616‐1,Single (Suite/Apartment),6,DynamicGender,24‐25 Quiet Housing
PERKINS HALL,PERKINS FL 1,PERKINS 114,PERKINS 114,PERKINS 114‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 114,PERKINS 114,PERKINS 114‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 115,PERKINS 115,PERKINS 115‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 115,PERKINS 115,PERKINS 115‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 116,PERKINS 116,PERKINS 116‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 116,PERKINS 116,PERKINS 116‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 119,PERKINS 119,PERKINS 119‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 119,PERKINS 119,PERKINS 119‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 120,PERKINS 120,PERKINS 120‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 120,PERKINS 120,PERKINS 120‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 121,PERKINS 121,PERKINS 121‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 121,PERKINS 121,PERKINS 121‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 123,PERKINS 123,PERKINS 123‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 123,PERKINS 123,PERKINS 123‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 124,PERKINS 124,PERKINS 124‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 124,PERKINS 124,PERKINS 124‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 125,PERKINS 125,PERKINS 125‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 125,PERKINS 125,PERKINS 125‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 127,PERKINS 127,PERKINS 127‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 127,PERKINS 127,PERKINS 127‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 129,PERKINS 129,PERKINS 129‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 129,PERKINS 129,PERKINS 129‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 130,PERKINS 130,PERKINS 130‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 130,PERKINS 130,PERKINS 130‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 131,PERKINS 131,PERKINS 131‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 131,PERKINS 131,PERKINS 131‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 132,PERKINS 132,PERKINS 132‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 132,PERKINS 132,PERKINS 132‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 1,PERKINS 137,PERKINS 137,PERKINS 137‐1,Double,,CoEd,24‐25 Spring General Selection
