Genre,Decade,Popularity,Location,Band,Year,Artist
Jazz & R&B,50s & 60s & 70s,0,US,FALSE,1950,Elliot Lawrence
Jazz & R&B,50s & 60s & 70s,0,US,FALSE,1951,Freddy Martin
Jazz & R&B,50s & 60s & 70s,0,US,FALSE,1952,Teddy Wilson
Jazz & R&B,50s & 60s & 70s,0,US,FALSE,1953,Claude Thornhill
Jazz & R&B,50s & 60s & 70s,0,US,FALSE,1954,Russ Morgan
Jazz & R&B,50s & 60s & 70s,0,US,FALSE,1955,LeRoy Holmes
Jazz & R&B,50s & 60s & 70s,0,US,FALSE,1957,Elliot Lawrence
Jazz & R&B,50s & 60s & 70s,0,US,FALSE,1958,Lester Lanin
Jazz & R&B,50s & 60s & 70s,0,Other,FALSE,1959,Ralph Marterie
Alternative & Folk,50s & 60s & 70s,0+,US,FALSE,1961,Odetta
Jazz & R&B,50s & 60s & 70s,0+,US,TRUE,1961,The Four Freshmen
Jazz & R&B,50s & 60s & 70s,200+,US,FALSE,1962,Ray Charles
Jazz & R&B,50s & 60s & 70s,200+,US,FALSE,1963,The Isley Brothers
Alternative & Folk,50s & 60s & 70s,0+,US,TRUE,1963,The Limeliters
Alternative & Folk,50s & 60s & 70s,200+,US,FALSE,1964,Bob Dylan
Jazz & R&B,50s & 60s & 70s,50+,US,FALSE,1965,Ella Fitzgerald
Jazz & R&B,50s & 60s & 70s,0+,US,FALSE,1966,Ahmad Jamal
Rock,50s & 60s & 70s,0,US,TRUE,1966,Barry and the Remains
Pop,50s & 60s & 70s,50+,NY,TRUE,1966,The Crystals
Rock,50s & 60s & 70s,0,US,TRUE,1966,The Cyrkle
Alternative & Folk,50s & 60s & 70s,0+,NY,TRUE,1967,"Peter, Paul, Mary"
Jazz & R&B,50s & 60s & 70s,200+,US,FALSE,1968,Dionne Warwick
Jazz & R&B,50s & 60s & 70s,50+,US,FALSE,1968,Dizzy Gillespie
Jazz & R&B,50s & 60s & 70s,200+,US,FALSE,1968,James Brown
Rock,50s & 60s & 70s,0+,Other,FALSE,1968,Procol Harum
Rock,50s & 60s & 70s,50+,Other,TRUE,1968,The Yardbirds
Alternative & Folk,50s & 60s & 70s,0,Other,FALSE,1969,Carlos Montoya
Alternative & Folk,50s & 60s & 70s,50+,Canada,FALSE,1969,Gordon Lightfoot
Jazz & R&B,50s & 60s & 70s,50+,NY,FALSE,1969,Herbie Mann
Rock,50s & 60s & 70s,50+,US,FALSE,1969,Janis Joplin
Jazz & R&B,50s & 60s & 70s,200+,US,FALSE,1969,Smokey Robinson
Jazz & R&B,50s & 60s & 70s,200+,US,FALSE,1969,The Miracles
Rock,50s & 60s & 70s,0,US,TRUE,1970,Delaney and Bonnie and Friends
Rock,50s & 60s & 70s,200+,US,FALSE,1970,James Taylor
Rock,50s & 60s & 70s,50+,US,TRUE,1970,Jefferson Airplane
Rock,50s & 60s & 70s,0+,Other,FALSE,1970,John Mayall
Alternative & Folk,50s & 60s & 70s,0+,NY,FALSE,1970,John Sebastian
Alternative & Folk,50s & 60s & 70s,50+,US,FALSE,1970,Judy Collins
Jazz & R&B,50s & 60s & 70s,200+,US,FALSE,1970,Ray Charles
Rock,50s & 60s & 70s,50+,Canada,TRUE,1970,The Band
Jazz & R&B,50s & 60s & 70s,50+,US,FALSE,1971,Boz Scaggs
