Year,Date,Home/Away,Opponent,Result,Score,Location
1878,11/13/1878,at,Amherst,L,0-4,"Amherst, Mass."
1880,11/13/1880,at,Yale,L,0-5,"New Haven, Conn."
1886,10/02/1886,vs,Providence High School,W,70-0,"Providence, R.I."
1886,10/09/1886,vs,Boston University,L,6-10,
1889,10/12/1889,vs,Pawtucket Cricket Club,W,14-0,
1889,10/19/1889,at,MIT,L,0-48,"Boston, Mass. (South End Grounds)"
1889,10/26/1889,vs,Tufts,W,16-0,
1889,11/02/1889,vs,Boston Athletic Association,L,0-16,
1890,10/08/1890,at,MIT,T,8-8,"Boston, Mass. (South End Grounds)"
1890,10/11/1890,at,Fall River,L,0-8,"Fall River, Mass."
1890,10/18/1890,at,Tufts,W,14-0,"Medford, Mass."
1890,10/25/1890,vs,Boston Athletic Association,L,12-26,
1890,11/08/1890,at,Trinity (Conn.),L,16-20,"Hartford, Conn."
1890,11/15/1890,vs,Harvard Freshmen,W,22-8,
1890,11/21/1890,vs,Wesleyan,L,6-34,"Springfield, Mass. (Hampden Park)"
1891,09/30/1891,at,MIT,W,6-4,"Boston, Mass."
1891,10/03/1891,vs,Trinity (Conn.),L,0-8,"Providence, R.I."
1891,10/07/1891,at,Fall River,W,18-4,"Fall River, Mass."
1891,10/10/1891,at,Phillips Academy Andover,L,0-26,"Andover, Mass."
1891,10/17/1891,at,Bowdoin,L,18-22,"Portland, Maine"
1891,10/24/1891,vs,Bowdoin,W,18-0,"Providence, R.I."
1891,10/28/1891,vs,MIT,L,6-14,"Providence, R.I."
1891,11/04/1891,at,Williams,L,0-58,"Williamstown, Mass."
1891,11/07/1891,at,WPI,W,32-6,"Worcester, Mass."
1891,11/14/1891,vs,Tufts,L,12-34,"Providence, R.I."
1892,10/08/1892,vs,WPI,W,8-4,"Providence, R.I."
1892,10/12/1892,at,Fall River,W,24-0,"Fall River, Mass."
1892,10/19/1892,at,Phillips Academy Andover,W,6-4,"Andover, Mass."
1892,10/21/1892,vs,MIT,L,6-30,"New Bedford, Mass."
1892,11/01/1892,vs,Tufts,L,4-24,"Providence, R.I."
1892,11/05/1892,vs,Trinity (Conn.),T,0-0,"Providence, R.I."
1892,11/09/1892,vs,MIT,L,6-12,"Providence, R.I."
1892,11/11/1892,vs,Bowdoin,L,0-8,"Providence, R.I."
1892,11/12/1892,at,WPI,L,0-4,"Worcester, Mass."
1892,11/16/1892,vs,Wesleyan,W,6-4,"Providence, R.I."
1893,10/04/1893,at,Yale,L,0-18,"New Haven, Conn."
1893,10/07/1893,at,WPI,W,30-0,"Worcester, Mass."
1893,10/14/1893,vs,Boston Athletic Club,L,0-6,"Providence, R.I."
1893,10/21/1893,vs,Trinity (Conn.),W,34-0,"Providence, R.I."
1893,10/25/1893,at,Phillips Academy Andover,W,10-0,"Andover, Mass."
1893,10/28/1893,at,Harvard,L,0-58,"Cambridge, Mass."
1893,11/08/1893,vs,MIT,W,36-0,"Providence, R.I."
1893,11/18/1893,at,MIT,W,28-6,"Boston, Mass. (South End Grounds)"
1893,11/23/1893,vs,Tufts,W,30-0,"Providence, R.I."
1894,09/29/1894,vs,Fort Adams,W,56-0,"Providence, R.I."
1894,10/03/1894,at,Yale,L,0-28,"New Haven, Conn."
1894,10/06/1894,vs,Boston Athletic Club,W,28-0,"Providence, R.I."
1894,10/11/1894,at,Harvard,L,4-18,"Cambridge, Mass."
1894,10/13/1894,at,Army,W,10-0,"West Point, N.Y."
1894,10/17/1894,at,Phillips Academy Andover,W,14-0,"Andover, Mass."
1894,10/20/1894,vs,Wesleyan,W,26-0,"Providence, R.I."
1894,10/24/1894,at,MIT,L,4-8,"Boston, Mass. (South End Grounds)"
1894,10/31/1894,at,Tufts,W,30-0,"Medford, Mass."
1894,11/03/1894,vs,Yale,L,0-12,"Providence, R.I."
1894,11/10/1894,at,Orange Athletic Club,W,12-10,"East Orange, N.J."
1894,11/15/1894,at,Harvard,L,0-18,"Cambridge, Mass."
1894,11/17/1894,vs,Bowdoin College,W,42-0,"Providence, R.I."
1894,11/24/1894,vs,Dartmouth,W,20-4,"Springfield, Mass. (Outing Park)"
1894,11/29/1894,vs,MIT,W,16-4,"Providence, R.I."
1895,09/28/1895,vs,Newton Athletic Association,W,22-0,"Providence, R.I."
1895,10/02/1895,at,Yale,L,0-4,"New Haven, Conn."
1895,10/12/1895,vs,Tufts,W,28-0,"Providence, R.I."
1895,10/19/1895,at,Harvard,L,6-26,"Boston, Mass."
1895,10/23/1895,at,MIT,W,14-0,"Boston, Mass. (South End Grounds)"
1895,10/26/1895,vs,Lehigh,W,22-4,"Providence, R.I."
1895,10/30/1895,at,Penn,L,0-12,"Philadelphia, Pa."
1895,11/05/1895,at,Crescent Athletic Club,L,0-16,"Brooklyn, N.Y. (Eastern Park)"
1895,11/06/1895,vs,Wesleyan,W,10-5,"Providence, R.I."
1895,11/09/1895,vs,Yale,T,6-6,"Providence, R.I."
1895,11/13/1895,vs,MIT,W,28-0,"Providence, R.I."
1895,11/16/1895,at,Cornell,L,4-6,"Ithaca, N.Y."
1895,11/23/1895,at,Army,L,0-26,"West Point, N.Y."
1895,11/28/1895,vs,Dartmouth,W,10-4,"Providence, R.I."
1896,09/26/1896,vs,WPI,W,20-0,"Providence, R.I."
1896,10/07/1896,at,Yale,L,0-18,"New Haven, Conn."
1896,10/10/1896,vs,Amherst,W,44-6,"Providence, R.I."
1896,10/17/1896,at,Harvard,L,0-12,"Cambridge, Mass."
1896,10/24/1896,vs,Lehigh,W,16-0,"Providence, R.I."
1896,10/28/1896,at,Penn,L,0-16,"Philadelphia, Pa."
1896,11/03/1896,vs,Dartmouth,T,10-10,"Providence, R.I."
1896,11/07/1896,vs,Yale,L,6-18,"Providence, R.I."
1896,11/21/1896,at,Army,L,6-8,"West Point, N.Y."
1896,11/26/1896,vs,Carlisle,W,24-12,"New York, N.Y. (Polo Grounds)"
1897,10/02/1897,vs,Tufts,W,24-0,"Providence, R.I."
1897,10/09/1897,vs,Boston,W,44-0,"Providence, R.I."
1897,10/13/1897,at,Phillips Academy Andover,W,20-4,"Andover, Mass."
1897,10/16/1897,vs,Wesleyan,W,24-12,"Providence, R.I."
1897,10/20/1897,at,Yale,L,14-18,"New Haven, Conn."
1897,10/23/1897,at,Harvard,L,0-18,"Cambridge, Mass."
1897,10/30/1897,vs,Penn,L,0-40,"Providence, R.I."
1897,11/06/1897,at,Newton Athletic Assoc.,W,24-0,"Newton Centre, Mass."
1897,11/13/1897,vs,Carlisle,W,18-14,"New York, N.Y. (Polo Grounds)"
1897,11/20/1897,at,Army,L,0-42,"West Point, N.Y."
1897,11/25/1897,vs,Wesleyan,W,12-4,"Providence, R.I."
1898,10/01/1898,vs,Holy Cross,W,19-0,"Providence, R.I."
1898,10/05/1898,vs,Tufts,W,29-6,"Providence, R.I."
1898,10/08/1898,at,Penn,L,0-18,"Philadelphia, Pa."
1898,10/16/1898,vs,Colby,W,41-5,"Providence, R.I."
1898,10/19/1898,at,Yale,L,6-22,"New Haven, Conn."
1898,10/24/1898,vs,Boston College,W,6-0,"Providence, R.I."
1898,10/29/1898,vs,Princeton,L,0-23,"Providence, R.I."
1898,11/05/1898,vs,Newton Athletic Assoc.,W,16-5,"Providence, R.I."
1898,11/12/1898,at,Harvard,L,6-17,"Cambridge, Mass."
1898,11/21/1898,vs,Dartmouth,W,12-0,"Providence, R.I."
1899,09/30/1899,at,Holy Cross,W,19-0,"Worcester, Mass."
1899,10/04/1899,vs,Tufts,W,6-0,"Providence, R.I."
1899,10/07/1899,vs,Penn,T,6-6,"Providence, R.I."
1899,10/14/1899,vs,Campello,W,25-0,"Providence, R.I."
1899,10/21/1899,at,Harvard,L,0-11,"Cambridge, Mass."
1899,10/28/1899,vs,Newton Athletic Assoc.,W,35-0,"Providence, R.I."
1899,11/04/1899,at,Princeton,L,6-18,"Princeton, N.J."
1899,11/11/1899,vs,MIT,W,38-0,"Providence, R.I."
1899,11/18/1899,vs,Boston College,W,18-0,"Providence, R.I."
1899,11/25/1899,vs,Dartmouth,W,16-5,"Providence, R.I."
1899,11/30/1899,at,Chicago,L,6-17,"Chicago, Ill."
1900,09/29/1900,vs,Colby,W,27-0,"Providence, R.I."
1900,10/06/1900,vs,Holy Cross,W,18-0,"Providence, R.I."
1900,10/10/1900,vs,MIT,W,22-0,"Providence, R.I."
1900,10/13/1900,at,Penn,L,0-12,"Philadelphia, Pa."
1900,10/20/1900,at,Chicago,W,11-6,"Chicago, Ill."
1900,10/27/1900,vs,Princeton,L,5-17,"Providence, R.I."
1900,11/03/1900,vs,Neeham Athletic Club,W,12-5,"Providence, R.I."
1900,11/06/1900,vs,Tufts,W,26-5,"Providence, R.I."
1900,11/10/1900,at,Harvard,L,6-11,"Boston, Mass."
1900,11/17/1900,at,Dartmouth,W,12-5,"Hanover, N.H."
1900,11/24/1900,vs,Syracuse,T,6-6,"Providence, R.I."
1901,09/29/1901,vs,Boston College,W,12-0,"Providence, R.I."
1901,10/02/1901,vs,Colby,W,16-0,"Providence, R.I."
