Date,Season,Location,Score,Media
"Saturday, September 28",2024,"HomeProvidence, R.I.",W31-28,
"Friday, September 22",2023,"AwayBoston, Mass.",L31-34,
"Saturday, September 24",2022,"HomeProvidence, R.I.",L28-35,
"Friday, September 24",2021,"AwayBoston, Mass.",L17-49,
"Friday, September 27",2019,"AwayBoston, Mass.",L7-42,
"Friday, September 21",2018,"HomeProvidence, R.I.",L17-31,
"Saturday, September 23",2017,"AwayBoston, Mass.",L28-45,
"Saturday, September 24",2016,"HomeProvidence, R.I.",L22-32,
"Saturday, September 26",2015,"AwayBoston, Mass.",L27-53,
"Saturday, September 27",2014,"HomeProvidence, R.I.",L14-22,
"Saturday, September 28",2013,"AwayBoston, Mass.",L23-41,
"Saturday, September 22",2012,"HomeProvidence, R.I.",L31-45,
"Friday, September 23",2011,"AwayBoston, Mass.",L7-24,
"Saturday, September 25",2010,"HomeProvidence, R.I.",W29-14,
"Friday, September 25",2009,"AwayBoston, Mass.",L21-24,
"Saturday, September 27",2008,"HomeProvidence, R.I.",W24-22,Box Score
"Saturday, September 22",2007,"AwayBoston, Mass.",L17-24,Box Score
"Saturday, September 23",2006,"HomeProvidence, R.I.",L21-38,Box Score
"Saturday, September 24",2005,"AwayBoston, Mass.",(2OT)L35-38,Box Score
"Saturday, September 25",2004,"HomeProvidence, R.I.",L34-35,Box Score
"Saturday, September 27",2003,"AwayBoston, Mass.",L14-52,Box Score
"Saturday, September 28",2002,"HomeProvidence, R.I.",L24-26,
"Saturday, September 22",2001,"AwayBoston, Mass.",L20-27,Box Score
"Saturday, September 23",2000,"HomeProvidence, R.I.",L37-42,
"Saturday, November 6",1999,"HomeProvidence, R.I.",W17-10,
"Saturday, November 7",1998,"AwayBoston, Mass.",W27-6,
"Saturday, November 8",1997,"HomeProvidence, R.I.",L10-27,
"Saturday, November 9",1996,"AwayBoston, Mass.",W31-7,
"Saturday, November 4",1995,"HomeProvidence, R.I.",W47-8,
"Saturday, November 5",1994,"AwayBoston, Mass.",W23-17,
"Saturday, November 6",1993,"HomeProvidence, R.I.",W43-29,
"Saturday, November 7",1992,"AwayBoston, Mass.",L19-29,
"Saturday, November 9",1991,"HomeProvidence, R.I.",L29-35,
"Saturday, November 3",1990,"AwayBoston, Mass.",L37-52,
"Saturday, November 4",1989,"HomeProvidence, R.I.",L14-27,
"Saturday, October 29",1988,"AwayBoston, Mass.",L3-28,
"Saturday, October 31",1987,"HomeProvidence, R.I.",L9-14,
"Saturday, November 1",1986,"AwayBoston, Mass.",W31-19,
"Saturday, November 2",1985,"HomeProvidence, R.I.",L17-25,
"Saturday, November 3",1984,"AwayBoston, Mass.",L10-24,
"Saturday, October 29",1983,"HomeProvidence, R.I.",L10-17,
"Saturday, October 30",1982,"AwayBoston, Mass.",L0-34,
"Saturday, October 31",1981,"HomeProvidence, R.I.",L7-41,
"Saturday, November 1",1980,"AwayBoston, Mass.",L16-17,
"Saturday, November 3",1979,"HomeProvidence, R.I.",W23-14,
"Saturday, November 4",1978,"AwayBoston, Mass.",W31-30,
"Saturday, October 29",1977,"HomeProvidence, R.I.",W20-15,
"Saturday, October 30",1976,"AwayBoston, Mass.",W16-14,
"Saturday, November 15",1975,"HomeProvidence, R.I.",L26-45,
"Saturday, November 16",1974,"AwayBoston, Mass.",W10-7,
"Saturday, November 17",1973,"HomeProvidence, R.I.",L32-35,
"Saturday, November 18",1972,"AwayBoston, Mass.",L14-21,
"Saturday, November 13",1971,"HomeProvidence, R.I.",L19-24,
"Saturday, November 14",1970,"AwayBoston, Mass.",L10-17,
"Saturday, November 15",1969,"HomeProvidence, R.I.",W24-17,
"Saturday, November 16",1968,"AwayBoston, Mass.",L7-31,
"Saturday, November 18",1967,"HomeProvidence, R.I.",L6-21,
"Saturday, November 12",1966,"AwayBoston, Mass.",L7-24,
"Saturday, November 13",1965,"HomeProvidence, R.I.",L8-17,
"Saturday, November 14",1964,"AwayBoston, Mass.",L7-19,
"Saturday, November 16",1963,"HomeProvidence, R.I.",L12-24,
"Saturday, November 17",1962,"AwayBoston, Mass.",L19-31,
"Saturday, November 18",1961,"AwayBoston, Mass.",L6-21,
"Saturday, November 12",1960,"AwayBoston, Mass.",L8-22,
"Saturday, November 14",1959,"HomeProvidence, R.I.",W16-6,
"Saturday, November 15",1958,"AwayBoston, Mass.",W29-22,
"Saturday, November 16",1957,"AwayBoston, Mass.",W33-6,
"Saturday, November 17",1956,"AwayBoston, Mass.",W21-12,
"Saturday, November 12",1955,"AwayBoston, Mass.",W14-6,
"Saturday, November 13",1954,"AwayBoston, Mass.",T21-21,
"Saturday, November 14",1953,"AwayBoston, Mass.",L20-27,
"Saturday, November 15",1952,"HomeProvidence, R.I.",W28-21,
"Saturday, November 17",1951,"AwayBoston, Mass.",L21-34,
"Saturday, November 18",1950,"AwayBoston, Mass.",L13-14,
"Saturday, November 12",1949,"AwayBoston, Mass.",W28-14,
"Saturday, November 13",1948,"AwayBoston, Mass.",L19-30,
"Saturday, November 15",1947,"AwayBoston, Mass.",L7-13,
"Saturday, November 16",1946,"AwayBoston, Mass.",L0-28,
"Saturday, November 17",1945,"HomeProvidence, R.I.",L7-14,
"Saturday, November 14",1942,"AwayBoston, Mass.",L0-7,
