the_geom,Address,Suffix,Street,OnStr,OnStrProper,FromStr,toStr,Side,Site,SPP,DBH,WIRES,PITTYPE,WARD,longitude,latitude
POINT (-71.40450143666122 41.827721548114155),45,,PROSPECT ST,ANGELL ST,Angell St,PROSPECT ST,BROWN ST,Side,2,Acer platanoides,19,No,Lawn Strip,2,-71.40450144,41.82772155
POINT (-71.40190639943769 41.82721088915545),86,,WATERMAN ST,WATERMAN ST,Waterman St,THAYER ST,BROWN ST,Front,1,Gleditsia triacanthos,16,No,Sidewalk Pit,2,-71.4019064,41.82721089
POINT (-71.39604950240347 41.82757289298485),149,Y,WATERMAN ST,WATERMAN ST,Waterman St,HOPE ST,COOKE ST,Front,4,Zelkova serrata,9,No,Sidewalk Pit,1,-71.3960495,41.82757289
POINT (-71.40468910401057 41.82624223569862),20,,PROSPECT ST,PROSPECT ST,Prospect St,WATERMAN ST,COLLEGE ST,Front,4,Ulmus spp.,3,No,Sidewalk Pit,2,-71.4046891,41.82624224
POINT (-71.39780141026549 41.82404683666532),100,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,HOPE ST,CHARLESFIELD ST,Front,6,Ulmus americana,3,Yes,Sidewalk Pit,1,-71.39780141,41.82404684
POINT (-71.3999973049075 41.82334801039022),56,,CHARLESFIELD ST,THAYER ST,Thayer St,CHARLESFIELD ST,POWER ST,Side,8,Tilia cordata,10,No,Sidewalk Pit,1,-71.3999973,41.82334801
POINT (-71.39745842504848 41.82960581044367),8,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,HOPE ST,Front,2,Gleditsia triacanthos,8.2,No,Lawn Strip,2,-71.39745843,41.82960581
POINT (-71.40381683257222 41.828923160687154),151,,MEETING ST,MEETING ST,Meeting St,PROSPECT ST,BROWN ST,Front,1,Acer rubrum,16.7,Yes,Sidewalk Pit,2,-71.40381683,41.82892316
POINT (-71.39932333361303 41.830849807682505),273,,BOWEN ST,BOWEN ST,Bowen St,BROOK ST,HOPE ST,Front,1,Quercus alba,50,No,Sidewalk Pit,2,-71.39932333,41.83084981
POINT (-71.40751612574539 41.82743205337012),30,,WATERMAN ST,BENEFIT ST,Benefit St,WATERMAN ST,ANGELL ST,Side,2,Gleditsia triacanthos,23.1,No,Sidewalk Pit,2,-71.40751613,41.82743205
